No_of_movies,       Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
438,                Aap Ki Khatir,2006,122,"Comedy, Romance",6.3,27,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel
439,                Aap Ki Marzi,1939,,        -------,3.6,863,Sarvottam Badami,Khurshid Begum,Sabita Devi,Sunalini Devi
440,                Aap Ki Parchhaiyan,1964,128,"Drama, Family, Romance",,20,Mohan Kumar,Dharmendra,Supriya Choudhury,Vijayalaxmi
441,                Aap Ki Sewa Mein,1946,,        -------,6.3,39,Vasant Joglekar,Nimbalkar,        -------,        -------
442,                Aap Mujhe Achche Lagne Lage,2002,180,"Action, Drama, Romance",,20,Vikram Bhatt,Hrithik Roshan,Ameesha Patel,Kiran Kumar
443,                Aap Se Pyar Hain,1994,,Romance,3.1,2366,Ayush,        -------,        -------,        -------
444,                Aap Se Pyar Hua,1978,,Romance,,20,P. Sharma,Rita Anchan,Satish Kaul,Sona
445,                Aap To Aise Na The,1980,145,"Romance, Drama, Family",,20,Ambrish Sangal,Raj Babbar,Ranjeeta Kaur,Deepak Parashar
446,                Aapa Akka,2009,,Drama,5.6,38,Mandakini Mathur,Sohail Mokashi,Satyajit Kadam,        -------
447,                Aapas Ki Baat,1981,148,"Action, Romance",6,10,Harmesh Malhotra,Poonam Dhillon,Raj Babbar,Shakti Kapoor
448,                Aapko Pehle Bhi Kahin Dekha Hai,2003,145,"Action, Comedy, Drama",5.2,17,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal
449,                Aaplee Maanse,1992,,Drama,4.5,273,Sanjay Soorkar,Prashant Damle,Mohan Joshi,Sudhir Joshi
450,                Aar Paar,1985,125,Action,6.4,12,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt
451,                Aar Paar: The Judgement,2004,,Action,6.1,44,Genelia D'Souza,Nitin Kumar,Pradeep Singh Rawat,        -------
452,                Aar Ya Paar,1997,180,Thriller,,20,Ketan Mehta,Jackie Shroff,Deepa Sahi,Ritu Shivpuri
453,                Aarakshan,2011,164,"Drama, Thriller",6.1,230,Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee
454,                Aaram,1951,,Romance,6.2,5170,D.D. Kashyap,Dev Anand,Madhubala,Talat Mahmood
455,                Aarambh,1976,,Drama,6.8,40,Gyan Kumar,Saira Banu,Kishore Namit Kapoor,Ravi Kumar
456,                Aaravalli,1957,210,Horror,,20,Varalakshmi G.,        -------,        -------,        -------
457,                Aarilirunthu Arubadhuvarai,1979,,Drama,5.9,7,S.P. Muthuraman,        -------,        -------,        -------
458,                Aarohi,1982,,Romance,,20,Kishore Kapoor,Vipin Kapoor,Rakesh Pandey,Rama Vij
459,                Aarop,1974,129,Drama,,20,Atma Ram,Vinod Khanna,Saira Banu,Vinod Mehra
460,                Aar-Paar,1954,146,"Musical, Romance, Thriller",6.7,13,Guru Dutt,Shyama,Guru Dutt,Jagdish Sethi
461,                Aarti,1962,156,"Family, Musical, Romance",6.6,250,Phani Majumdar,Ashok Kumar,Meena Kumari,Pradeep Kumar
462,                Aarti,1945,,        -------,6.6,67,Ramchandra Thakur,Kanhaiyalal Chaturvedi,Surendra,Vanamala
463,                Aarya,2007,157,"Action, Drama, Romance",,20,Balasekaran,Bhavana,Madhavan,Prakash Raj
464,                Aarya,1992,,Romance,4.6,191,Mani Nair,        -------,        -------,        -------
465,                Aaryamaan,,125,"Action, Drama, Fantasy",,20,Mitesh Kumar Patel,        -------,        -------,        -------
466,                Aaryan Mera Naam,1988,,Action,,20,Ramya Krishnan,Mohanlal,Balan K. Nair,Gavin Packard
467,                Aarzoo,1999,175,"Drama, Romance",,20,Lawrence D'Souza,Madhuri Dixit,Akshay Kumar,Saif Ali Khan
468,                Aas,1953,,Romance,5.4,1445,Devendra Goel,Kamini Kaushal,Shekhar,Om Prakash
469,                Aas,1978,,Romance,5.1,13,        -------,        -------,        -------,        -------
470,                Aas Aur Pyaas,1983,,Drama,,20,K.C. Agarwal,Girish Karnad,Nutan,Rameshwari
471,                Aas Ka Panchhi,1961,,"Family, Drama",,20,Mohan Kumar,Vyjayanthimala,Rajendra Kumar,Raj Mehra
472,                Aas Paas,1981,,Romance,6.8,32,J. Om Prakash,Dharmendra,Hema Malini,Prem Chopra
473,                Aasha,1957,171,"Comedy, Romance",5.8,107,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran
474,                Aasha,1980,123,"Drama, Musical, Romance",6.5,23,J. Om Prakash,Jeetendra,Reena Roy,Rameshwari
475,                Aashanka,1983,,Drama,5.3,199,Hari Atma,Omi Kapoor,Suhaas Khandke,Meena Paliwal
476,                Aashayein,2010,120,Drama,,20,Nagesh Kukunoor,John Abraham,Anaitha Nair,Girish Karnad
477,                Aashiana,1986,,Drama,7.1,1259,Mahesh Bhatt,Amit Khanna,Mark Zubair,Deepti Naval
478,                Aashiana,1974,,"Crime, Drama, Romance",2.6,11,Syed Hussain,Harindranath Chattopadhyay,Ramesh Deo,Gajanan Jagirdar
479,                Aashik Aawara,1993,,Drama,,20,Umesh Mehra,Saif Ali Khan,Mamta Kulkarni,Mohnish Bahl
480,                Aashiq,1962,150,Romance,5.2,299,Hrishikesh Mukherjee,Raj Kapoor,Padmini,Nanda
481,                Aashiq,2001,160,"Action, Drama, Romance",6.7,64,Indra Kumar,Bobby Deol,Karisma Kapoor,Rahul Dev
482,                Aashiq Banaya Aapne: Love Takes Over,2005,115,"Drama, Romance, Thriller",3.8,403,Aditya Datt,Emraan Hashmi,Tanushree Dutta,Sonu Sood
483,                Aashiq Hoon Baharon Ka,1977,136,Romance,4.3,1569,J. Om Prakash,Rajesh Khanna,Zeenat Aman,Danny Denzongpa
484,                Aashique Mastane,1995,,Comedy,5.5,85,Ajay Kashyap,Maya Alagh,Vikas Anand,Mohnish Bahl
485,                Aashiqui,1990,152,"Musical, Drama, Romance",6.2,0,Mahesh Bhatt,Rahul Roy,Anu Agrawal,Avtar Gill
486,                Aashiqui 2,2013,132,"Drama, Music, Musical",6.3,1661,Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa
487,                Aashiqui.In,2011,109,"Drama, Romance",7,27357,Shankhadeep,Shubhi Ahuja,Amit Dhamija,Preeti Gandwani
488,                Aashirwad,1968,146,Drama,3.7,61,Hrishikesh Mukherjee,Ashok Kumar,Sanjeev Kumar,Sumita Sanyal
489,                Aashmani Jawaharat,2014,132,Drama,7.3,203,Sriparna Dey,Anamitra Roy,Anamitra Roy,Yovik
490,                Aasma,2018,105,"Action, Crime, Drama",6.1,10,Sudipto Sen,Subrat Dutta,Ameet Gaurr,Sunny Hinduja
491,                Aasma: The Sky Is the Limit,2009,240,Drama,5.2,8,Rohit Krishnakant Nayyar,Hrishitaa Bhatt,Seema Biswas,Nauheed Cyrusi
492,                Aasmaan,1952,,"Drama, Family",3.8,46,Dalsukh M. Pancholi,Nasir Khan,Shyama,Veena
493,                Aasmaan,1984,145,"Drama, Mystery",,20,Tony Juneja,Rajiv Kapoor,Divya Rana,Tina Ambani
494,                Aasmaan Mahal,1965,172,Drama,4.8,0,Khwaja Ahmad Abbas,Prithviraj Kapoor,Dilip Roy,Surekha
495,                Aasmaan Se Gira,1992,88,"Adventure, Comedy, Romance",5.5,6,Pankaj Parashar,Abhishek Chitlangia,Raghuvir Yadav,Anupam Kher
496,                Aasoo Bane Angaarey,1993,150,Action,6.8,56,Mehul Kumar,Jeetendra,Madhuri Dixit,Kiran Kumar
497,                Aasra,1966,161,"Drama, Family",4.5,88,Satyen Bose,Mala Sinha,Biswajit Chatterjee,Balraj Sahni
498,                Aasra,2016,,Biography,7.2,32,Raj Sagar,Raj Sagar,Atul Kulkarni,Ashok Samarth
499,                Aasra,2019,95,"Drama, Family, Romance",,20,Dinesh Chaudhary,Uttar Kumar,Dev Sharma,Devika Thakur
500,                Aastha: In the Prison of Spring,1997,132,Drama,,20,Basu Bhattacharya,Rekha,Om Puri,Dinesh Thakur
501,                Aatank,1996,113,"Action, Thriller",6.4,172,Prem Lalwani,Desh Mukherjee,Nafisa Ali,Dharmendra
502,                Aatank Hi Aatank,1995,155,"Action, Crime, Drama",3.9,99,Dilip Shankar,Rajinikanth,Aamir Khan,Juhi Chawla
503,                Aatank Raj,1999,118,Action,5.2,776,R. Mittal,Mohan Joshi,Bharat Kapoor,Arshad Khan
504,                Aathi,2006,167,"Action, Drama, Thriller",,20,Ramana,Joseph Vijay,Trisha Krishnan,Vivek
505,                Aati... Kya!!!,,130,Comedy,4.4,2166,Jasbir Bijender Bhati,Vikas Kailash,        -------,        -------
506,                Aatish,1979,139,Action,,20,Ambrish Sangal,Jeetendra,Neetu Singh,Dheeraj Kumar
507,                Aatish: Feel the Fire,1994,155,"Action, Crime, Drama",4.5,16,Sanjay Gupta,Sanjay Dutt,Aditya Pancholi,Raveena Tandon
508,                Aatma,2006,107,"Crime, Drama, Horror",5.8,735,Deepak Ramsay,Kapil Jhaveri,Shabana Raza,Vikram Singh
509,                Aatma,2013,100,"Drama, Horror, Thriller",4.2,79,Suparn Varma,Jaideep Ahlawat,Bipasha Basu,Padam Bhola
510,                Aatma Aur Parmatma,1978,,Thriller,3.8,623,        -------,        -------,        -------,        -------
511,                Aatma Aur Parmatma,2004,109,Horror,,20,Keerthi Chawla,Anant Nag,Bullet Prakash,        -------
512,                Aavartan,2021,116,Musical,,20,Durba Sahay,Sushma Seth,Shovana Narayan,Sunit Razdan
513,                Aavida Maa Aavide,1998,153,"Comedy, Romance",,20,E.V.V. Satyanarayana,Nagarjuna Akkineni,Tabu,Heera Rajgopal
514,                Aavishkar,1974,107,"Drama, Romance",6.4,170,Basu Bhattacharya,Rajesh Khanna,Sharmila Tagore,Dina Pathak
515,                Aawaz,1956,146,Romance,7,213,Zia Sarhadi,Nalini Jaywant,Nasir Hussain,Usha Kiran
516,                Aawaz De Kahan Hai,1990,,"Drama, Romance",5.1,7,Sibte Hassan Rizvi,Bindu,Annu Kapoor,Satyendra Kapoor
517,                Aaya Hai Dulha Dulhan Le Jayega (AHDDLJ),2018,,"Family, Music, Musical",3.7,7,Dharmesh Tiwari,Rucha Gujrati,Amit Agarwal,        -------
518,                Aaya Jawani Jhoom Ke,1994,,Thriller,,20,Silk Smitha,        -------,        -------,        -------
519,                Aaya Toofan,1964,128,"Action, Adventure, Fantasy",,20,Mohammed Hussain,Kedar Kapoor,Dara Singh,Helen
520,                Aaya Toofan,1999,111,Action,6.1,14,Deepak Balraj Vij,Mithun Chakraborty,Aditya Pancholi,Gulshan Grover
521,                Aaya Yauwan Jhoom Ke,1999,,Drama,5.4,31,Papu Bahruz,Rajendra Gupta,Johnny Lever,Kirti Rawal
522,                Aayaam,2021,,Drama,,20,Mihir Kumar Sharma,Deepak Singh,Deeksha Panth,Chirag Dave
523,                Aaye Din Bahar Ke,1966,170,"Musical, Romance",,20,Raghunath Jhalani,Asha Parekh,Dharmendra,Balraj Sahni
524,                Aayi Tere Yaad,1980,,Drama,6.6,109,Krishna Naidu,Rajni Bala,Birbal,Meera
525,                Aazaan,2011,125,"Action, Musical, Thriller",,20,Prashant Chadha,Sachiin Joshi,Candice Boucher,Arya Babbar
526,                Aazmayish,1995,147,"Action, Drama, Romance",4.4,346,Sachin Pilgaonkar,Sachin,Rohit Kumar Sharma,Dharmendra
527,                Ab Ayega Mazaa,1984,128,Comedy,5,35,Pankaj Parashar,Ravi Baswani,Raja Bundela,Pawan Malhotra
528,                Ab Badla Main Loongi,1990,,Action,6.6,85,Hemagini,Manik Irani,Salma Nazeem,Shafiqua
529,                Ab Bolo Har Har Mahadev,2010,,Drama,,20,Anil Mehta,Rima N. Kapoor,Nirmal Pandey,Pushpraj Singh
530,                Ab Dilli Dur Nahin,1957,133,Drama,,20,Amar Kumar,Master Romi,Sulochana Latkar,Lala Yaqoob
531,                Ab Hoga Dharna Unlimited,2012,78,Comedy,7.6,80,Deepak Tanwar,Saurabh Malik,Rekha Rana,Omkar Das Manikpuri
532,                Ab Insaf Hoga,1995,125,"Action, Drama",4,6,Harish Shah,Rekha,Mithun Chakraborty,Deepika Amin
533,                Ab Ke Baras,2002,,"Action, Romance, Thriller",4.8,32,Raj Kanwar,Arya Babbar,Amrita Rao,Ashutosh Rana
534,                Ab Kya Hoga,1977,,"Mystery, Thriller",3.3,198,Saawan Kumar Tak,Shatrughan Sinha,Neetu Singh,Asrani
535,                Ab Kya Hoga,2002,,Thriller,4.8,24,        -------,        -------,        -------,        -------
536,                Ab Meri Baari,1989,,Action,,20,Bhagwan Thakur,Hemant Birje,Sudhir Dalvi,Kimi Katkar
537,                Ab Meri Baari,1983,,Action,5.1,8,        -------,        -------,        -------,        -------
538,                Ab Tak Chhappan,2004,129,"Action, Crime, Drama",,20,Shimit Amin,Nana Patekar,Revathi,Yashpal Sharma
539,                Ab Tak Chhappan 2,2015,106,"Action, Crime, Thriller",7.8,8379,Ejaz Gulab,Nana Patekar,Mohan Agashe,Gul Panag
540,                Ab To Aaja Saajan Mere,1994,127,"Drama, Romance",5.8,1344,Rakesh Nahata,Keshto Iqbal,Arvind Joshi,Shalini Kapoor
541,                Ab to Jeene Do,1995,,Action,4,6,Yash Chouhan,Ishrat Ali,Sadashiv Amrapurkar,Mitwa
542,                Ab Tumhare Hawale Watan Saathiyo,2004,193,"Action, Drama, War",,20,Anil Sharma,Sanjay Sharma,Amitabh Bachchan,Akshay Kumar
543,                Ab Tumhari Bari,2005,,Horror,4.6,1494,Mohan Bhakri,Rana Jung Bahadur,Sunil Dhawan,Tina Ghai
544,                Ab Ye Galtiyan Na Ho,2021,,Romance,,20,Masum Ali Khan,Karamveer Choudhary,Subeer Kasali,        -------
545,                Ab... Bas!,2004,137,"Romance, Thriller",,20,Rajesh Kumar Singh,Chetanya Adeep,Shawar Ali,Arun Bakshi
546,                Abala,1989,,Drama,3.2,74,Vasant Kumar Goni,Girish Karnad,Asha Lata,Sheela Sharma
547,                ABCD (Any Body Can Dance),2013,160,"Drama, Music",,20,Remo D'Souza,Prabhu Deva,Ganesh Acharya,Kay Kay Menon
548,                Abdul Qayyoom Khan,1968,,Drama,6.3,6458,        -------,        -------,        -------,        -------
549,                Abdulla,1960,,        -------,,20,Aakkoo,Ajit,Helen,Mahipal
550,                Abdullah,1980,136,"Action, Drama, Romance",,20,Sanjay Khan,Raj Kapoor,Sanjay Khan,Sanjeev Kumar
551,                Abe Hayat,1933,,Drama,6.4,189,Krishna Gopal,Ali Athar,Bachan,Nazir
552,                Abe Hayat,1955,140,"Action, Adventure, Fantasy",2.8,10,Ramanlal Desai,Prem Nath,Ameeta,Shashikala
553,                Abhagin,1938,151,        -------,4.8,21,Prafulla Roy,Molina Devi,Prithviraj Kapoor,Vijay Kumar
554,                Abhay,1995,127,Fantasy,,20,Annu Kapoor,Ankit Desai,Benjamin Gilani,Eka Lakhani
555,                Abhi Abhi,1992,,Romance,7,64,Rajaram,Soorya,Rubaina Khan,Mohnish Bahl
556,                Abhi Kal Hi Ki Baat Hai,1970,,Documentary,,20,Clement Baptista,        -------,        -------,        -------
557,                Abhi To Jee Lein,1977,135,"Action, Drama, Thriller",,0,Roshan Taneja,Jaya Bachchan,Danny Denzongpa,Simi Garewal
558,                Abhi To Main Jawaan Hoon,1989,,Comedy,5.4,10,Amjad Khan,Bharat Bhushan,Kalpana Iyer,Shehzad Khan
559,                Abhi to Raat Hain,2005,,Thriller,,0,        -------,        -------,        -------,        -------
560,                Abhi toh party shuru hui hai,,,Drama,,20,Anubhav Sinha,Richa Chadha,Pankaj Tripathi,Shriya Pilgaonkar
561,                Abhilasha,1968,141,"Drama, Romance",,20,Amit Bose,Meena Kumari,Nanda,Sanjay Khan
562,                Abhilasha,1938,134,        -------,6.8,0,Zia Sarhadi,Mahendra Thakore,M. Kumar,Bibbo
563,                Abhimaan,1957,,"Drama, Family, Romance",,20,Mahesh Kaul,Ameeta,Shekhar,Chand Usmani
564,                Abhimaan,1973,122,"Drama, Musical",7.1,10,Hrishikesh Mukherjee,Amitabh Bachchan,Jaya Bachchan,Asrani
565,                Abhimanyu,1980,,        -------,7.9,2665,Mahesh Bhatt,        -------,        -------,        -------
566,                Abhimanyu,1991,140,"Crime, Drama, Musical",3.2,0,Priyadarshan,Mohanlal,Shankar,Ajayan Adoor
567,                Abhimanyu,1989,168,"Action, Comedy, Drama",7,326,Tony Juneja,Anil Kapoor,Kimi Katkar,Poonam Dhillon
568,                Abhinav Bindra Biopic,,,Biography,4.6,28,Kannan Iyer,Anil Kapoor,Harshvardhan Kapoor,        -------
569,                Abhinetri,1970,154,"Drama, Romance",,20,Subodh Mukherji,Shashi Kapoor,Hema Malini,Deb Mukherjee
570,                Abhishap,1986,,Drama,6.7,70,Biresh Chatterjee,Ranjit Mallick,Debashree Roy,Soumitra Bannerjee
571,                Abhishapt,2011,,Drama,7.1,8,Pankaj Prakash,Dilshad Patel,Vasundhara Das,Raj Vasudeva
572,                Abhishapt,1988,,        -------,7,6,Prakash Jha,Deepti Naval,Pyare Mohan Sahay,Vasant Joglekar
573,                Abhiyog,1996,,Drama,,20,        -------,        -------,        -------,        -------
574,                Abidah,1948,,        -------,,20,Nazir,Noor Jehan,M. Kumar,Swarnalata
575,                Abla,1941,,        -------,,20,R.N. Vaidya,Chandrika,Sheila Haldar,Hiralal
576,                Abla Ki Shakti,1940,,        -------,,20,Munshi Dil,Jehanara Kajjan,Phool Kumari,Premlata
577,                Abodh,1984,132,Drama,,20,Hiren Nag,Tapas Pal,Madhuri Dixit,Sheela Sharma
578,                Abroo,1943,,        -------,5.8,109,Govind Ram,Sitara Devi,Lala Yaqoob,Jagdish Sethi
579,                Absence of a sound,,57,Drama,3.1,7,Zameer Kamble,Manoj Thorat,        -------,        -------
580,                Abu Kaliya,1990,,"Action, Crime, Mystery",,20,C.K. Kader,Premnath Gulati,Majid Khan,Sudhir Pandey
581,                Abul Hasan,1931,,        -------,,20,Prafulla Ghosh,Hadi,Khatun,Shahzadi
582,                Accident,1965,,Thriller,,20,Amarnath,Iqbal Mishra,Ranjan,Rashida
583,                Accident on Hill Road,2010,105,"Crime, Drama, Thriller",,20,Mahesh Nair,Farooq Shaikh,Celina Jaitly,Abhimanyu Singh
584,                Achanak,1973,96,"Crime, Drama",4,284,Gulzar,Vinod Khanna,Om Shivpuri,Lily Chakravarty
585,                Achanak,1998,160,"Action, Mystery, Thriller",6.8,213,Naresh Malhotra,Govinda,Manisha Koirala,Farha Naaz
586,                Achanak,1988,,Thriller,4,245,Rakesh Kashyap,Om Puri,Kunickaa Sadanand,Kanwaljit Singh
587,                Achanak,1988,,Drama,,20,Kavi Raz,Alka,Amarjeet Kaur,Kavi Raz
588,                Achchhaji,1950,,Comedy,,20,S.H. Tharani,Master Bhagwan,Baburao Pahelwan,Naaz
589,                Achha Bura,1972,,        -------,,20,Mohammed Hussain,Anupama,Mohan Choti,Dev Dutt
590,                Achha Bura,1983,,Drama,,20,Hrishikesh Mukherjee,Amjad Khan,Ranjeet,Raj Babbar
591,                Achhut,1940,140,Drama,6.7,25,Gohar,Motilal,Vasanti,Noor Mohammad Charlie
592,                Achhut Kanya,1936,142,"Drama, Musical, Romance",,20,Franz Osten,Devika Rani,Ashok Kumar,Monorama
593,                Acid Factory,2009,108,"Action, Crime, Mystery",6.5,114,Suparn Varma,Fardeen Khan,Dia Mirza,Manoj Bajpayee
594,                Action,1989,,        -------,5,677,Dimple Kapadia,        -------,        -------,        -------
595,                Action,2019,158,"Action, Adventure, Thriller",,20,Sundar C.,Vishal,Tamannaah Bhatia,Aishwarya Lekshmi
596,                Action for Calcutta,1971,,Documentary,4.5,858,Santi P. Choudhury,        -------,        -------,        -------
597,                Action Jackson,2014,144,"Action, Crime, Thriller",,20,Prabhu Deva,Prabhas,Ajay Devgn,Sonakshi Sinha
598,                Action No.1,2004,,Action,3.3,3461,Thriller Manju,Vani Viswanath,        -------,        -------
599,                Action Replayy,2010,129,"Comedy, Romance, Sci-Fi",,20,Vipul Amrutlal Shah,Akshay Kumar,Aishwarya Rai Bachchan,Aditya Roy Kapoor
600,                Actor,1950,,Comedy,4.2,5814,Ranjibhai Arya,Ramola,Master Bhagwan,Indurani
601,                Actress,1948,,        -------,,20,Najam Naqvi,David Abraham,Rehana,        -------
602,                Actress Kyon Bani,1939,,Drama,6.2,5,G.R. Sethi,Padmadevi,Ashiq Hussain,P. Gaznavi
603,                Ada... A Way of Life,2010,120,"Action, Crime, Drama",,20,Tanvir Ahmad,Ayaan Ahmad,Ayesha Jhulka,Rahul Roy
604,                Adaa,1951,,Romance,3.6,49,Devendra Goel,Shekhar,Rehana,Gope
605,                Adaab Dawood Ibrahim Bol Raha Hoon,,122,Drama,,20,Samir Karnik,Manoj Bajpayee,Sharib Hashmi,        -------
606,                Adalat,1948,,        -------,,20,Vasant Joglekar,Baburao Pendharkar,Shalini,Salvi
607,                Adalat,1958,139,"Drama, Musical, Romance",,20,Kalidas,Nargis,Pradeep Kumar,Pran
608,                Adalat,1976,138,"Action, Drama, Family",6.9,36,Narendra Bedi,Amitabh Bachchan,Waheeda Rehman,Neetu Singh
609,                Adalat,1943,,Crime,6.4,284,Ramchandra Thakur,        -------,        -------,        -------
610,                Adam Ka Janam,1989,,Drama,,20,Sanjay,Supriya,        -------,        -------
611,                Adamkhor,1955,,Action,5.5,6,Aakkoo,Habib,Kesari,Lalita Kumari
612,                Adarsh Mahila,1937,,        -------,,20,Tara,        -------,        -------,        -------
613,                Adha,1977,,        -------,,20,Prem Chopra,        -------,        -------,        -------
614,                Adhar,1945,,        -------,,20,Pannalal Ghosh,Umakant,Kokila,Lala Yaqoob
615,                Adharm,1992,,"Action, Crime, Drama",,20,Aziz Sejawal,Shatrughan Sinha,Shabana Azmi,Sanjay Dutt
616,                Adharm,2006,,Action,5.1,66,Adeep Singh,Rahul Dev,Mayuri Kango,Rocky Khanna
617,                Adhi Raat Ke Baad,1965,137,"Action, Drama, Mystery",5.3,11,Nanabhai Bhatt,Ashok Kumar,Ragini,Sailesh Kumar
618,                Adhikar,1938,132,        -------,6.6,28,P.C. Barua,P.C. Barua,Jamuna,Pahadi Sanyal
619,                Adhikar,1954,126,"Comedy, Drama, Romance",,20,Mohan Segal,Usha Kiran,Kishore Kumar,Yashodra Katju
620,                Adhikar,1986,,"Drama, Family, Romance",6.7,13,Chitrayug,Vijay Sadanah,Rajesh Khanna,Tina Ambani
621,                Adhikar,1971,,Drama,6.2,38,S.M. Sagar,Ashok Kumar,Nanda,Deb Mukherjee
622,                Adhiktam,2020,45,"Action, Comedy",4.9,21,Prashast Singh,Prashast Singh,        -------,        -------
623,                Adhipathi,2001,151,"Action, Drama",,20,Ravi Raja,Nagarjuna Akkineni,Ali,Mohan Babu
624,                Adhoori Pyaas,2004,,Thriller,5.4,533,Smitha,Uda,        -------,        -------
625,                Adhura,1995,,Drama,,20,Ashish Balram Nagpal,Kitu Gidwani,Irrfan Khan,Ashish Balram Nagpal
626,                Adhura Aadmi,1982,,Action,,20,Amjad Khan,Kalpana Iyer,Amjad Khan,Narendra Nath
627,                Adhura Badan,1990,,Thriller,,20,        -------,        -------,        -------,        -------
628,                Adhura Sapna,2007,88,Drama,,20,Vimal Reddy,Tania Nazmeen Dean,Rajnel Prasad,Ratu Rakuita Tawake
629,                Adhurada,1940,,        -------,4.7,11,Trilok Kapoor,        -------,        -------,        -------
630,                Adhure Khwaab,1992,,Drama,,20,Sarbjeet Dhaliwal,Sarbjeet Dhaliwal,Rick Khalsi,Monica
631,                Adhuri Dulhan,1995,,Romance,,20,Shabbir Kumar,        -------,        -------,        -------
632,                Adhuri Hawas,2004,,Thriller,,20,Suresh Jain,Rimpal Balnegar,Reena Kapoor,        -------
633,                Adhuri Kahani,1939,148,        -------,,20,Chaturbhuj Doshi,Durga Khote,Prithviraj Kapoor,Rose
634,                Adhuri Suhagraat,2000,,Drama,,20,Naresh Gupta,Mohnish Bahl,Rakesh Bedi,Amita Nangia
635,                Adhurs,2010,150,"Action, Comedy, Thriller",,20,V.V. Vinayak,N.T. Rama Rao Jr.,Nayanthara,Sheela Kaur
636,                Adi Manav,1977,,Action,6.8,2393,N. Basavaraj,Kanaka Durga,Prabhakar,Mohan Rao
637,                Adi Shankaracharya,1983,130,"Biography, Drama",,20,G.V. Iyer,Sarvadaman Banerjee,M.V. Narayana Rao,Manjunath Bhatt
638,                Adi Shastra,1998,,Action,7.3,240,        -------,        -------,        -------,        -------
639,                Adibhumi: Home Land,2015,121,Drama,,20,Satyabrata Dwibedy,        -------,        -------,        -------
640,                Adil-E-Jahangir,1955,150,Drama,,20,G.P. Sippy,Pradeep Kumar,Meena Kumari,D.K. Sapru
641,                Adipurush,2022,,"Action, Drama, History",5,0,Om Raut,Prabhas,Saif Ali Khan,Kriti Sanon
642,                Adisaya Piravi,1990,145,"Action, Comedy, Fantasy",,20,S.P. Muthuraman,Rajinikanth,Chinnijayanth,Jai Ganesh
643,                Adivasi Queen,1997,,"Adventure, Drama, Mystery",6.9,335,Yvonne Lal,Mahendra Kumar,Roja,Bindu
644,                Adivasiyon Ka Jeevan Srot,1955,,Documentary,,0,Ritwik Ghatak,        -------,        -------,        -------
645,                Adiyug,1978,106,Drama,,20,Tatineni Prasad,Saheen Aman,Ramesh Goyal,Mehndi Jamal
646,                Adl-e-Jehangir,1934,,        -------,,20,K. Sardar,Pushpa,        -------,        -------
647,                Admissions Open,2010,,"Comedy, Drama",,0,K.D. Satyam,Anupam Kher,Ashish Vidyarthi,Arshi
648,                Admitted,2020,126,"Documentary, Biography",3.3,51,Ojaswwee Sharma,Dhananjay Chauhan,        -------,        -------
649,                Adrashya,2020,,        -------,,20,Sabir Shaikh,        -------,        -------,        -------
650,                Adrishya,2017,106,"Drama, Family, Horror",,20,Sandeep Chatterjee,Nishat Mallick,Archana Kotwal,Ravi Kumar
651,                Adutha Varisu,1983,122,Drama,3.3,102,S.P. Muthuraman,Rajinikanth,Sridevi,Varalakshmi S.
652,                Adventure Kids Hindi Film,2019,120,Adventure,5.5,76,Manoj Palrecha,Suvahhdan Angre,Neel Bakshi,Prachita Gujar
653,                Adventures of Aladdin,1978,151,Adventure,6.6,12,Homi Wadia,Nazneen,Jayshree T.,Raza Murad
654,                Adventures of Ali-Baba and the Forty Thieves,1980,153,"Action, Adventure, Family",4.7,0,Latif Faiziyev,Umesh Mehra,Dharmendra,Hema Malini
655,                Adventures of Robin Hood and Bandits,1965,,Adventure,6.2,506,B.J. Patel,Parveen Choudhary,Shyam Kumar,Nilofer
656,                Adventures of Tarzan,1985,135,"Action, Adventure, Comedy",,20,Babbar Subhash,Kimi Katkar,Dalip Tahil,Om Shivpuri
657,                Adwait Sangeet,2011,82,"Documentary, Biography, Musical",4.6,140,Makarand Brahme,        -------,        -------,        -------
658,                Ae Dil Hai Mushkil,2016,158,"Drama, Music, Musical",7.9,13,Karan Johar,Ranbir Kapoor,Aishwarya Rai Bachchan,Anushka Sharma
659,                Ae Kaash Ke Hum,2021,,Romance,5.8,21661,Vishal Mishra,Vivaan Shah,Priya Singh,Sophia Singh
660,                Ae phansaa,2008,,Comedy,,20,B.H. Tharun Kumar,Aryeman Ramsay,Anuj Sawhney,Tara Sharma
661,                Aetbaar,2004,152,"Action, Drama, Musical",,20,Vikram Bhatt,Amitabh Bachchan,John Abraham,Bipasha Basu
662,                Afghan Abla,1934,,        -------,4.6,1013,Jagatrai Pesumal Advani,Kamlabai Gokhale,Sultana,        -------
663,                Afghan: in Search of a Home,,,Drama,,20,Radhika Rao,Vinay Sapru,Aditya Seal,Adnan Sami
